Sentiment,SentimentText
1,สอบถามหน่อยค่ะ ส่งของไปชุมพรได้ไหมคะ งดรับพัสดุไหมคะ
1,เมนูหลัก
1,สอบถามหน่อยค่ะ ส่งของไปชุมพรได้ไหมคะ งดรับพัสดุไหมคะ
1,hello
1,Track and Trace
0,พึงพอใจมาก
0,พึงพอใจมาก
1,คุณS O M POY Follow
1,คุณS O M POY Follow
1,บริการ
1,"เปลี่ยนที่อยู่ผู้รับ
"
1,ตรวจสอบค่าพัสดุ
1,พึงพอใจ
1,ต้องการตรวจสอบสถานะ
1,ต้องการตรวจสอบสถานะ
1,เปลี่ยนที่อยู่ผู้รับ
1,ต้องการตรวจสอบสถานะ
0,พึงพอใจมาก
1,เรียกรถเข้ารับพัสดุ
1,เปลี่ยนที่อยู่ผู้รับ
0,ไม่พึงพอใจ
1,จุดให้บริการ
1,บริการจากเรา
1,ติดตามสถานะพัสดุ
1,ต้องการตรวจสอบสถานะ
1,อยากทราบที่อยู่ที่เคยส่งไปได้ไหมค่ะ  แบบละเอียด
1,คุณNina Follow
1,คุณNina Follow
1,ต้องการตรวจสอบสถานะ
1,ติดตามสถานะพัสดุ
1,มาส่ง กรุนาโทรมาก่อนนะครับ
1,ต้องการตรวจสอบสถานะ
1,ติดตามสถานะพัสดุ
1,ติดตามสถานะพัสดุ
0,ไม่สามารถติดตามพัสดุ
1,ติดตามสถานะพัสดุ
1,Track and Trace
1,ติดตามสถานะพัสดุ
1,Services
1,Track and Trace
1,Track and Trace
1,Track and Trace
1,Track and Trace
1,ต้องการตรวจสอบสถานะ
1,พึงพอใจ
1,คุณNattapon Khwanchuay Follow
1,คุณNattapon Khwanchuay Follow
1,เมนูหลัก
1,ต้องการตรวจสอบสถานะ
1,ติดตามสถานะพัสดุ
0,ไม่สามารถติดตามพัสดุ
1,ส่งไปชุมพร
1,ตอนนี้อยู่ภาคกลางแล้วทำไงได้บ้าง
1,เมนูหลัก
1,บริการจากเรา
1,ติดตามสถานะพัสดุ
1,พึงพอใจ
0,ไม่สามารถติดตามพัสดุ
1,พึงพอใจมาก
1,คุณ1818 Follow
1,คุณ1818 Follow
0,ไม่พึงพอใจ
1,ติดตามสถานะพัสดุ
0,ไม่สามารถติดตามพัสดุ
1,คุณ🐱🐿🦊Benben🐿🐱🦊 Follow
1,คุณ🐱🐿🦊Benben🐿🐱🦊 Follow
1,พึงพอใจมาก
1,ติดตามสถานะพัสดุ
1,ตรวจสอบค่าพัสดุ
1,พึงพอใจมาก
1,ต้องการตรวจสอบสถานะ
1,บริการ
1,ต้องการเปลี่ยนที่อยู่ผู้รับ
